timezone,srcipv4,rawmsghostname,rawmsghostipv4,rawmsg,protocol,program,msg,metaclass,meta_ts,meta_sp,meta_sip4,meta_rule,meta_oml,meta_omh,meta_mid,meta_iid,meta_i,meta_cid,meta_cbid,eventtype,eventtime,dsthost,class,_eventid,__metadata__,srcisp,srcusagetype,meta_cbname,srcport,responsecode,response,requestid,username,dstipv4,dstisp,dstusagetype,reason,result,description,uri,httpmethod,dstport,domain,uri_parsed
-0400, ,gcsmq0646.global.com,127.0.0.1,2017-05-08 11:24:27-0400 [-] Stopping factory <duoauthproxy.modules.ad_client._ADAuthClientFactory object at 0x0289C3F0>, ,DUO,stopping factory <duoauthproxy.modules.ad_client._adauthclientfactory object at 0x0289c3f0>,auth,2017-05-08T15:24:27.460Z,57868,172.21.25.46,duo_auth-3236646410,169,<13>May  8 11:24:27 gcSMQ0646.global.com DUO: ,28067912919,0,0.0.0.0/514/tcp,2b03-688fa5cd7,11011, ,2017-05-08T11:24:27.000Z, ,duo_auth,70c81b45-30ad-409b-99a3-1859960dc8e4#536,"{""id"":""70c81b45-30ad-409b-99a3-1859960dc8e4#536"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""70c81b45-30ad-409b-99a3-1859960dc8e4"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":535,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}", , ,11011, , , , , , , , , , , , , , , , 
-0400,172.20.41.6,gcsmq0646.global.com,127.0.0.1,"2017-05-08 11:20:27-0400 [DuoForwardServer (UDP)] (('172.20.41.6', 1645), 35): login attempt for username u'Waiting for IOS to register IP address.'",udp,DUO,login attempt,auth,2017-05-08T15:20:27.401Z,57868,172.21.25.46,duo_auth-601040247,197,<13>May  8 11:20:27 gcSMQ0646.global.com DUO: ,28067469699,0,0.0.0.0/514/tcp,2b03-688f39983,11011,duoforwardserver,2017-05-08T11:20:27.000Z, ,duo_auth,ac02fca1-9fcf-4835-b424-ccd3fdf61f7b#2694,"{""id"":""ac02fca1-9fcf-4835-b424-ccd3fdf61f7b#2694"",""num_events"":2914,""data_type"":""passthrough"",""batch_id"":""ac02fca1-9fcf-4835-b424-ccd3fdf61f7b"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":2693,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11011,1645, , ,35,waiting for ios to register ip address., , , , , , , , , , , 
-0400,172.20.41.6,gcsmq0646.global.com,127.0.0.1,"2017-05-08 11:27:04-0400 [_ADAuthClientProtocol,client] (('172.20.41.6', 1645), 73): Returning response code 3: AccessReject",_adauthclientprotocol,DUO,returning response code,auth,2017-05-08T15:27:04.481Z,57868,172.21.25.46,duo_auth-515357678,173,<13>May  8 11:27:04 gcSMQ0646.global.com DUO: ,28068205983,0,0.0.0.0/514/tcp,2b03-688fed59f,11011, ,2017-05-08T11:27:04.000Z, ,duo_auth,c09a7735-7cb0-431c-b5d9-8194d407e0d9#1528,"{""id"":""c09a7735-7cb0-431c-b5d9-8194d407e0d9#1528"",""num_events"":2961,""data_type"":""passthrough"",""batch_id"":""c09a7735-7cb0-431c-b5d9-8194d407e0d9"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":1527,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11011,1645,3,accessreject,73, , , , , , , , , , , , 
-0400,172.20.41.6,gcsmq0646.global.com,127.0.0.1,"2017-05-08 11:10:11-0400 [DuoForwardServer (UDP)] Received new request id 232 from ('172.20.41.6', 1645)",udp,DUO,received new request id,auth,2017-05-08T15:10:11.908Z,57868,172.21.25.46,duo_auth-3747471979,153,<13>May  8 11:10:12 gcSMQ0646.global.com DUO: ,28066464538,0,0.0.0.0/514/tcp,2b03-688e4431a,11011,duoforwardserver,2017-05-08T11:10:11.000Z, ,duo_auth,33fb211c-7d38-42be-8caf-7be13ed16a4b#134,"{""id"":""33fb211c-7d38-42be-8caf-7be13ed16a4b#134"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""33fb211c-7d38-42be-8caf-7be13ed16a4b"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":133,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11011,1645, , ,232, , , , , , , , , , , , 
-0400, ,gcsmq0646.global.com,127.0.0.1,2017-05-08 11:09:25-0400 [-] Starting factory <duoauthproxy.modules.ad_client._ADAuthClientFactory object at 0x0275DFB0>, ,DUO,starting factory <duoauthproxy.modules.ad_client._adauthclientfactory object at 0x0275dfb0>,auth,2017-05-08T15:09:25.905Z,57868,172.21.25.46,duo_auth-2350118556,169,<13>May  8 11:09:26 gcSMQ0646.global.com DUO: ,28066389851,0,0.0.0.0/514/tcp,2b03-688e31f5b,11011, ,2017-05-08T11:09:25.000Z, ,duo_auth,7a2b53fd-db0e-4581-bc13-b13f2f61ab1e#1883,"{""id"":""7a2b53fd-db0e-4581-bc13-b13f2f61ab1e#1883"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""7a2b53fd-db0e-4581-bc13-b13f2f61ab1e"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":1882,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}", , ,11011, , , , , , , , , , , , , , , , 
-0400, ,gcsmq0646.global.com,127.0.0.1,2017-05-08 11:09:25-0400 [-] Stopping factory <_DuoHTTPClientFactory: https://api-e31334a3.duosecurity.com:443/rest/v1/preauth>, ,DUO,stopping factory <_duohttpclientfactory: https://api-e31334a3.duosecurity.com:443/rest/v1/preauth>,auth,2017-05-08T15:09:25.905Z,57868,172.21.25.46,duo_auth-3236646410,176,<13>May  8 11:09:26 gcSMQ0646.global.com DUO: ,28066389865,0,0.0.0.0/514/tcp,2b03-688e31f69,11011, ,2017-05-08T11:09:25.000Z, ,duo_auth,7a2b53fd-db0e-4581-bc13-b13f2f61ab1e#1887,"{""id"":""7a2b53fd-db0e-4581-bc13-b13f2f61ab1e#1887"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""7a2b53fd-db0e-4581-bc13-b13f2f61ab1e"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":1886,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}", , ,11011, , , , , , , , , , , , , , , , 
-0400,172.20.41.6,gcsmq0646.global.com,127.0.0.1,"2017-05-08 11:17:50-0400 [_ADAuthClientProtocol,client] (('172.20.41.6', 1645), 20): Primary credentials rejected - 'Invalid User'",_adauthclientprotocol,DUO,primary credentials rejected,auth,2017-05-08T15:17:51.395Z,57868,172.21.25.46,duo_auth-3190694820,179,<13>May  8 11:17:51 gcSMQ0646.global.com DUO: ,28067207180,0,0.0.0.0/514/tcp,2b03-688ef980c,11011, ,2017-05-08T11:17:50.000Z, ,duo_auth,15314dda-696a-400c-b496-89370d5e7c5f#1935,"{""id"":""15314dda-696a-400c-b496-89370d5e7c5f#1935"",""num_events"":2826,""data_type"":""passthrough"",""batch_id"":""15314dda-696a-400c-b496-89370d5e7c5f"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":1934,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11011,1645, , ,20, , , , ,invalid user, , , , , , , 
-0400, ,gcsmq0646.global.com,127.0.0.1,2017-05-08 11:17:50-0400 [-] Stopping factory <duoauthproxy.modules.ad_client._ADAuthClientFactory object at 0x0289C370>, ,DUO,stopping factory <duoauthproxy.modules.ad_client._adauthclientfactory object at 0x0289c370>,auth,2017-05-08T15:17:51.395Z,57868,172.21.25.46,duo_auth-3236646410,169,<13>May  8 11:17:51 gcSMQ0646.global.com DUO: ,28067207183,0,0.0.0.0/514/tcp,2b03-688ef980f,11011, ,2017-05-08T11:17:50.000Z, ,duo_auth,15314dda-696a-400c-b496-89370d5e7c5f#1937,"{""id"":""15314dda-696a-400c-b496-89370d5e7c5f#1937"",""num_events"":2826,""data_type"":""passthrough"",""batch_id"":""15314dda-696a-400c-b496-89370d5e7c5f"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":1936,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}", , ,11011, , , , , , , , , , , , , , , , 
-0400,172.20.41.6,gcsmq0646.global.com,127.0.0.1,"2017-05-08 11:30:54-0400 [DuoForwardServer (UDP)] (('172.20.41.6', 1645), 95): login attempt for username u'Waiting for IOS to register IP address.'",udp,DUO,login attempt,auth,2017-05-08T15:30:54.646Z,57868,172.21.25.46,duo_auth-601040247,197,<13>May  8 11:30:54 gcSMQ0646.global.com DUO: ,28068654063,0,0.0.0.0/514/tcp,2b03-68905abef,11011,duoforwardserver,2017-05-08T11:30:54.000Z, ,duo_auth,2409cd09-e244-4000-892e-297d9949e8e9#482,"{""id"":""2409cd09-e244-4000-892e-297d9949e8e9#482"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""2409cd09-e244-4000-892e-297d9949e8e9"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":481,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}",private ip address lan,rsv,11011,1645, , ,95,waiting for ios to register ip address., , , , , , , , , , , 
-0400, ,gcsmq0646.global.com,127.0.0.1,2017-05-08 11:30:54-0400 [DuoForwardServer (UDP)] Sending AD authentication request for 'Waiting for IOS to register IP address.' to '172.21.14.26',udp,DUO,sending ad authentication request,auth,2017-05-08T15:30:54.646Z,57868,172.21.25.46,duo_auth-2957086454,196,<13>May  8 11:30:54 gcSMQ0646.global.com DUO: ,28068654064,0,0.0.0.0/514/tcp,2b03-68905abf0,11011,duoforwardserver,2017-05-08T11:30:54.000Z, ,duo_auth,2409cd09-e244-4000-892e-297d9949e8e9#483,"{""id"":""2409cd09-e244-4000-892e-297d9949e8e9#483"",""num_events"":3000,""data_type"":""passthrough"",""batch_id"":""2409cd09-e244-4000-892e-297d9949e8e9"",""batch_segment"":0,""customer_id"":""lga03"",""sequence_number"":482,""source_type"":""json"",""target_index"":"""",""raw_batch_id"":"""",""dynamic_taxonomy"":false,""disable_index"":false}", , ,11011, , , , ,waiting for ios to register ip address.,172.21.14.26,private ip address lan,rsv, , , , , , , , 
